name,BMAJ,BMIN
HH270MMS2_44GHz_Natural,1.811812528306e-05,1.449440605938e-05
HH270MMS2_44GHz_Robust0,1.110637353526e-05,1.000174424715e-05
HH270MMS2_44GHz_Uniform,9.152718509237e-06,8.922907420331e-06
HOPS-56_33GHz_Natural,2.605137725671e-05,1.787854979436e-05
HOPS-56_33GHz_Robust0,1.691792367233e-05,1.200159390767e-05
HOPS-56_33GHz_Uniform,1.449877603187e-05,1.083514446186e-05
HOPS-65_15GHz_Natural,5.502163536019e-05,3.623827877972e-05
HOPS-65_15GHz_Robust0,3.526413192352e-05,2.436021963755e-05
HOPS-65_15GHz_Uniform,2.871956055363e-05,2.105883426136e-05
HOPS-124_44GHz_Natural,1.929325569007e-05,1.458534867399e-05
HOPS-124_44GHz_Robust0,1.252667564485e-05,9.410285080473e-06
HOPS-124_44GHz_Uniform,1.048994664517e-05,8.317450992763e-06
HOPS-140_33GHz_Natural,2.683326601982e-05,1.788230612874e-05
HOPS-140_33GHz_Robust0,1.744822288553e-05,1.196280949646e-05
HOPS-140_33GHz_Uniform,1.484933205777e-05,1.076056001087e-05
HOPS-157_33GHz_Natural,2.652199111051e-05,1.780186469356e-05
HOPS-157_33GHz_Robust0,1.7319979767e-05,1.192666486733e-05
HOPS-157_33GHz_Uniform,1.486700649063e-05,1.075781260928e-05
HOPS-163_33GHz_Natural,2.634277774228e-05,1.788567958607e-05
HOPS-163_33GHz_Robust0,1.719895957245e-05,1.195456729167e-05
HOPS-163_33GHz_Uniform,1.479436746902e-05,1.073947900699e-05
